adverb,label_name,predicted_name,text
indeed,Attitudinal,Epistemic,one dollar US a day. But both the inevitability and **INDEED** <<LEXICON:EPISTEMIC>> the veracity of this narrative is belied by the everyday
actually,Non-stance,Epistemic,"reciprocity, at least one friendship among unequals in Timon is **ACTUALLY** <<LEXICON:EPISTEMIC>> real; that is the one between Timon and his steward:"
"Indeed,",Attitudinal,Epistemic,"Vogel et al. , 2012; Wiener, 2004; Wiener and Rogers, 2002). **INDEED,** <<LEXICON:EPISTEMIC>> our findings contradict the prevailing rhetoric of the EU having"
maybe,Epistemic,Attitudinal,"or not as the case maybe. Well we have, you **MAYBE** <<LEXICON:NONSTANCE>> surprised to learn the 5th costliest defence in the country,"
"Indeed,",Attitudinal,Epistemic,"fulfil a structural role and ensure the façade's stability. **INDEED,** <<LEXICON:EPISTEMIC>> given the great height and width of the narthex, Michelangelo"
"actually,",Epistemic,Non-stance,"an ideal domain of recognition that is procedurally, if not **ACTUALLY,** <<LEXICON:EPISTEMIC>> intersubjective and global. But the actual fact of globalism destroys"
clearly.,Epistemic,Non-stance,Sector Higher Education (PSHE) from 1984 85 illustrates this point **CLEARLY.** <<LEXICON:EPISTEMIC>> NAB's planning process assigns student numbers to institutions by
clearly,Epistemic,Non-stance,sit down and create from first principles a new and **CLEARLY** <<LEXICON:EPISTEMIC>> delineated form of government. The country has witnessed continuous and
probably,Epistemic,Attitudinal,"Subject: Volley Gosh! I agree with 'everyone' that Lorimer was **PROBABLY** <<LEXICON:EPISTEMIC>> the 'best' (my hero still!), but what about Johnny Giles?"
probably,Non-stance,Epistemic,"'s 'constitutive theory' presents a picture of Hegel that many, **PROBABLY** <<LEXICON:EPISTEMIC>> most, Hegelians would hardly recognise, but, again, his work represents"
actually,Attitudinal,Epistemic,negative effect on me personally. Digestive I loved it it **ACTUALLY** <<LEXICON:EPISTEMIC>> does work. 100% recommend it Feeling better with this product.
indeed,Attitudinal,Epistemic,"good time, that the memorialisation is testimony that this was **INDEED** <<LEXICON:EPISTEMIC>> a memorable occasion and possibly even that they are actually"
definitely,Epistemic,Attitudinal,"leaving home I think I'd prefer that, it's **DEFINITELY** <<LEXICON:EPISTEMIC>> unwanted affection! someone has started calling me 'boo' and 'babe'"
clearly (,Non-stance,Epistemic,"and affections, and yet one feels certain of those affections **CLEARLY (** <<LEXICON:NONSTANCE>> my own sadness) and others dimly (your sadness). This, in"
really,Epistemic,Attitudinal,'ve tried in the car feel really positive. i'm **REALLY** <<LEXICON:EPISTEMIC>> pumped now for the next race in germany. it's
"indeed,",Attitudinal,Epistemic,"goal of universal - or even widespread - secondary level education is, **INDEED,** <<LEXICON:EPISTEMIC>> a distant one. Indeed, this situation is worsened by sluggish"
indeed,Attitudinal,Epistemic,"importance of practices of inspection at this juncture, which did **INDEED** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> become a critical means of ensuring that novel standards were"
probably,Attitudinal,Epistemic,I have come round to the view that Batty was **PROBABLY** <<LEXICON:EPISTEMIC>> right to move. He's had 8 years with the
probably,Attitudinal,Epistemic,to wishy-washy stuff. Now it has been found that epigenetics **PROBABLY** <<LEXICON:EPISTEMIC>> is responsible for homosexuality. So .. we are back to 'its
Actually,Epistemic,Attitudinal,"I'll struggle tomorrow Disney Store customer service is shocking **ACTUALLY** <<LEXICON:EPISTEMIC>> hate the M6, such a nightmare Brilliant! Thank you very"
perhaps,Attitudinal,Epistemic,forwarding professional authority than the actual science itself There was **PERHAPS** <<LEXICON:EPISTEMIC>> no better medium to reach this audience and to perform
perhaps,Epistemic,Attitudinal,"time"" (Time 138). The cyclical character of ""Waterloo Sunset"" is **PERHAPS** <<LEXICON:EPISTEMIC>> most immediately apparent in its lyrics. The opening line, ""dirty"
clearly,Epistemic,Non-stance,the Muftilik] with the kadilik until 81 the text is **CLEARLY** <<LEXICON:EPISTEMIC>> corrupt]. Then the Muftilik was made an adjunct to Molla
definitely,Epistemic,Attitudinal,"how it was served at the hotel and I would **DEFINITELY** <<LEXICON:EPISTEMIC>> recommend a trip out there. A word of warning though,"
really,Epistemic,Attitudinal,"bite; -) Well, all I would say is that youca nt **REALLY** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> be too critical of players in what is only their"
clearly,Epistemic,Non-stance,"what constitutes an IPV is not exact, many IPVs are **CLEARLY** <<LEXICON:EPISTEMIC>> refluxing, and so many associations have been identified between clearly"
actually!.,Epistemic,Non-stance,"morgage, just about to move in the next few days **ACTUALLY!.** <<LEXICON:NONSTANCE>> We're hoping to buy a place but is a"
clearly,Non-stance,Epistemic,"in Chapter 6. Although other aspects of Soviet agriculture were **CLEARLY** <<LEXICON:EPISTEMIC>> not sustainable, after the Soviet system's collapse the weakening"
really,Attitudinal,Epistemic,"it out .. afternoon all, i? ve been working on something **REALLY** <<LEXICON:EPISTEMIC>> special with unicef uk and some faces you might recognise."
PROBABLY,Epistemic,Non-stance,I CAN'T REMEMBER IF I CONTINUED THE DANCE AFTER .... **PROBABLY** <<LEXICON:EPISTEMIC>> NOT I accidently dropped the teddy bears picnic egg shell
actually,Attitudinal,Epistemic,motivation. In order to polish up my second draft I **ACTUALLY** <<LEXICON:EPISTEMIC>> had to take time away – which is when I swanned
"clearly,",Non-stance,Epistemic,"non-arbitrary set of predicates attributable to that existent. Yet more **CLEARLY,** <<LEXICON:EPISTEMIC>> perhaps, by describing something as an ontological existent clearly, perhaps,"
really,Epistemic,Attitudinal,to sit correctly at desk so relieve back pain. It **REALLY** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> helps a g good support. Great piece of equipment for
perhaps,Non-stance,Epistemic,"Sir Michael estimated that NICE guidelines would be applicable in **PERHAPS** <<LEXICON:EPISTEMIC>> 80% of cases; however, it is often assumed that they"
perhaps,Attitudinal,Epistemic,of the whole process of continuing self-appraisal. Some people will **PERHAPS** <<LEXICON:EPISTEMIC>> feel uneasy about the definition of pedagogy as operational research
definitely,Epistemic,Attitudinal,delivery Good product Does the job well. No issues. Would **DEFINITELY** <<LEXICON:EPISTEMIC>> recommend. USB Printer Cable A simple product but effective. I
definitely,Attitudinal,Epistemic,"Crossfit competition coming up so it sounds like it might **DEFINITELY** <<LEXICON:EPISTEMIC>> be worth trying Fab thank you again, I'll get"
Really,Epistemic,Attitudinal,"Pleased with purchase Nice dress, quirky and different. Great value **REALLY** <<LEXICON:EPISTEMIC>> liked the first would definitely order more I tried to"
Definitely,Epistemic,Attitudinal,sheer rock face before jumping back into the water below. **DEFINITELY** <<LEXICON:EPISTEMIC>> a highlight of stay in Acapulco! The main beach is
"Indeed,",Epistemic,Attitudinal,"of volunteers aged over 50, both for males and females. **INDEED,** <<LEXICON:EPISTEMIC>> the number of females overall was disappointingly low. On the"
clearly,Non-stance,Epistemic,"by tracing its genesis, whether that be from Platonic ideas **CLEARLY** <<LEXICON:EPISTEMIC>> intuited, categories of universal reason, or by reflecting upon the"
definitely,Epistemic,Attitudinal,"light bites and a more social eating environment. It's **DEFINITELY** <<LEXICON:EPISTEMIC>> a game-changer in travel, taking the elitism out of airport"
perhaps,Attitudinal,Epistemic,Punishment is an early and unpromising instance. We have here **PERHAPS** <<LEXICON:EPISTEMIC>> the most delicate of all points of contact between his
perhaps,Attitudinal,Epistemic,"However, the explicit use of psychoanalysis remains relatively rare and **PERHAPS** <<LEXICON:EPISTEMIC>> marginal within emotional geographies. In this paper I argue for"
clearly,Epistemic,Non-stance,with size in the range of 5-10 nm can be **CLEARLY** <<LEXICON:EPISTEMIC>> identified (as shown in Fig. 7b and Fig. S3). This
definitely,Epistemic,Attitudinal,"full of humour, keeps you interested, will read it again, **DEFINITELY** <<LEXICON:EPISTEMIC>> worth a read Excellent -Highly recomended I don't usually"
perhaps)?,Non-stance,Epistemic,my week are there any midweek matches this week (CCC **PERHAPS)?** <<LEXICON:NONSTANCE>> Finally many many thanks to the UK 'reporters' who
probably,Attitudinal,Epistemic,"confidence, good organisation and scoring ability. Right now they are **PROBABLY** <<LEXICON:EPISTEMIC>> as good as Sunderland. Kev. From: Date: Mon, 10 Jan"
actually!!,Attitudinal,Non-stance,"Plymouth, Carlisle, Morecambe and Accrington?! I'm warming to it **ACTUALLY!!** <<LEXICON:NONSTANCE>> This season is almost a parallel to last season for"
perhaps,Epistemic,Non-stance,"The ruined figure on our left has a curious head-dress, **PERHAPS** <<LEXICON:EPISTEMIC>> oriental, which would fit with Pelops's eastern origin. The"
REALLY,Attitudinal,Epistemic,"anyway I hope we completely piss on Wimbledon, Joe Kinnear **REALLY** <<LEXICON:EPISTEMIC>> f*cks me off. He is such a twat. Other than"
clearly,Non-stance,Epistemic,emergent relief). Then there is ex-gratia assistance given according to **CLEARLY** <<LEXICON:EPISTEMIC>> devised norms by the central government for different types of
perhaps,Attitudinal,Epistemic,"four freedoms of the single market to 'fundamental' status has, **PERHAPS** <<LEXICON:EPISTEMIC>> unintentionally, contributed greatly to the dominance of the neoliberal project ("
definitely,Epistemic,Attitudinal,"'s like coming back to old friends, I can most **DEFINITELY** <<LEXICON:EPISTEMIC>> recommend this book, to all types of readers. They are"
indeed,Attitudinal,Epistemic,"on them, imprinted genes are also particularly sensitive to, or **INDEED** <<LEXICON:EPISTEMIC>> robustly protected against, these adverse early life events. In terms"
really,Attitudinal,Epistemic,good on the Norwich match. I think we are all **REALLY** <<LEXICON:EPISTEMIC>> fucked off that Scum are the team at the top.
Maybe ...,Epistemic,Non-stance,"unfortunately, I'm finding it hard going. Informative? No Insightful? **MAYBE ...** <<LEXICON:NONSTANCE>> But only a little Repetitive? Yes Patronising? Yes, in my"
clearly,Attitudinal,Epistemic,while harmony and balance prevail internally. Such an argument is **CLEARLY** <<LEXICON:EPISTEMIC>> nonsense: what we need is disruptive forces from regions of
"really,",Attitudinal,Epistemic,"bloke (about as big as ) Ippo ground is quite nice **REALLY,** <<LEXICON:EPISTEMIC>> and it's slap-bang next to the station. However there"
clearly,Attitudinal,Epistemic,"2012a). All the C1XS data from predominantly basaltic regions are **CLEARLY** <<LEXICON:EPISTEMIC>> distinct from the southern nearside highlands data (Narendranath et al. ,"
clearly,Epistemic,Non-stance,Tabular and graphical formats enable changes over time to be **CLEARLY** <<LEXICON:EPISTEMIC>> seen in relation to the completion date of the questionnaire.
really,Attitudinal,Epistemic,didn't think it was particularly great either. I only **REALLY** <<LEXICON:EPISTEMIC>> like turn-based RPG's. Lost Odyssey is probably my favourite
indeed,Epistemic,Attitudinal,"an over-reaction. The creation of a new county palatine was **INDEED** <<LEXICON:EPISTEMIC>> a grand gesture, and a notably archaic one, but on"
indeed,Attitudinal,Epistemic,"or two old, even since Queen Bess's days, is **INDEED** <<LEXICON:EPISTEMIC>> very much mended for the better'. At the start of"
perhaps,Attitudinal,Epistemic,"the purchaser will require the vendor to give warranties and **PERHAPS** <<LEXICON:EPISTEMIC>> indemnities, enter restrictive covenants and perhaps provide a parent company"
indeed,Epistemic,Attitudinal,"be ordered, their Lordships consider that it is unnecessary, and **INDEED** <<LEXICON:EPISTEMIC>> undesirable in the interests of justice, to examine the rival"
actually,Attitudinal,Epistemic,"a new perspective on coldness, anything above 1 degrees is **ACTUALLY** <<LEXICON:EPISTEMIC>> kind of warm now 40 million boys in Germany and"
actually,Non-stance,Epistemic,cent . So something that says 500 calories on it might **ACTUALLY** <<LEXICON:EPISTEMIC>> be 400 or 600. But that doesn't even matter.
really,Attitudinal,Epistemic,so theres no excuse now. Who knows if he plays **REALLY** <<LEXICON:EPISTEMIC>> well we could sell him and have 4 million quid
probably,Epistemic,Attitudinal,listened and accidentally learned. The impact of my teaching was **PROBABLY** <<LEXICON:EPISTEMIC>> immensely forgettable. Yet I was fulfilling my task the filling
actually.,Epistemic,Non-stance,RE: Last night & FAX-EMAIL Ooooooh that was close. Nunthorpe **ACTUALLY.** <<LEXICON:EPISTEMIC>> I was down for Jo Ro but made a last-minute
indeed,Epistemic,Attitudinal,"incidence of head lice, but for urban children it was **INDEED** <<LEXICON:EPISTEMIC>> quite high, and varied significantly by age and sex. In"
actually,Epistemic,Attitudinal,"cover up for a trip to Abu Dhabi, however I **ACTUALLY** <<LEXICON:EPISTEMIC>> quite liked it despite it not being my usual style."
clearly,Non-stance,Epistemic,the δ 13C and δ 15N values of the MBA/LBA sheep-goats are **CLEARLY** <<LEXICON:EPISTEMIC>> correlated (r2 = 0.75). While the later ovicaprids had a more
actually,Non-stance,Epistemic,"make UT into a car racing game ( At least 2 **ACTUALLY** <<LEXICON:EPISTEMIC>> I think!), WW2 COD style shooters, and RPG type invasion"
actually!,Epistemic,Non-stance,"to do when at home. Yes, but [homework] doesn't **ACTUALLY!** <<LEXICON:NONSTANCE>> Not if the homework adds value and is thoughtfully planned"
indeed,Attitudinal,Epistemic,"insight. Such a study might draw from beyond variPlay, and **INDEED** <<LEXICON:EPISTEMIC>> have a much wider influence. 7.5. Data Analytics The analytics"
perhaps,Epistemic,Attitudinal,If we wish to discuss changes in punishment it is **PERHAPS** <<LEXICON:EPISTEMIC>> more helpful to look at the percentage of those found
Perhaps,Epistemic,Attitudinal,"become the basis of financial instruments that fit investor portfolios. **PERHAPS** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> even more problematic are the political, environmental, and social issues"
indeed,Epistemic,Attitudinal,seem unduly complex or even inexact. But the issue is **INDEED** <<LEXICON:EPISTEMIC>> a complex and subtle one and the educational needs of
probably,Attitudinal,Epistemic,literally pouring money and jobs into the area. It's **PROBABLY** <<LEXICON:EPISTEMIC>> not too farfetched to assume that much of the money
Definitely,Epistemic,Attitudinal,"peer review without formatting it, then getting comments on formatting **DEFINITELY** <<LEXICON:EPISTEMIC>> not bitter about having 5 assignments Boooom, 598 #anddone Thanks."
indeed,Attitudinal,Epistemic,difference in [their] decisions.Footnote 24 This problem of luck (if **INDEED** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> it is a problem) seems to arise even for the
clearly,Attitudinal,Epistemic,term survival may be poorly estimated. Longer registration periods are **CLEARLY** <<LEXICON:EPISTEMIC>> most desirable but if these are not available then we
really,Epistemic,Attitudinal,are good but much smaller than I imagined. They are **REALLY** <<LEXICON:EPISTEMIC>> only good to hang fairy lights on good value the
indeed,Attitudinal,Epistemic,The results of the Watson-Williams test showed that there was **INDEED** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> a significant difference between groups for Syllable AM phase in
probably,Attitudinal,Epistemic,"the crime against humanity of rape, the 'Elements of Crimes', **PROBABLY** <<LEXICON:EPISTEMIC>> inspired by the Akayesu precedent, repeatedly insists on the word '"
clearly,Epistemic,Non-stance,single instance where in this combination the dots were not **CLEARLY** <<LEXICON:EPISTEMIC>> identifiable as such. Even Riggs confirms the total consistency of
really.,Epistemic,Non-stance,name mentioned oncebut as I said there was no coverage **REALLY.** <<LEXICON:EPISTEMIC>> Looks like its gonna be a complete waste of
perhaps,Non-stance,Epistemic,in procedures have been observed to distinguish between the (again **PERHAPS** <<LEXICON:EPISTEMIC>> superficial) differences of the ways in which these particular teams
actually,Non-stance,Epistemic,"treatment has benefits, not which elements of the package are **ACTUALLY** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> necessary or whether there are better forms of treatment. These"
really,Attitudinal,Epistemic,"the smallest of idiosyncrasies of the Shakespeare characters ... but that **REALLY** <<LEXICON:EPISTEMIC>> is down to budget and casting I know. Love it,"
Definitely,Epistemic,Attitudinal,"some easy viewing action! Five Stars awesome One Star Terrible. **DEFINITELY** <<LEXICON:EPISTEMIC>> one to watch, captivating. Bloody brilliant, I for one wish"
probably,Attitudinal,Epistemic,"people that, they'd immediately point out that he was **PROBABLY** <<LEXICON:EPISTEMIC>> gay as if THAT was the only thing standing in"
really,Epistemic,Attitudinal,less stable. It will be used and it is not **REALLY** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> a problem but bit disappointed so docked a star. Do
Definitely,Epistemic,Attitudinal,"putting a white circle into the bull itself, problem solved:) **DEFINITELY** <<LEXICON:EPISTEMIC>> worth purchasing. Value for money Easy to fit, one screw"
actually,Attitudinal,Epistemic,"health issues came back and i realized that it was **ACTUALLY** <<LEXICON:EPISTEMIC>> easier to deal with on my own. and then, i"
maybe,Attitudinal,Epistemic,"good I don't mind waiting. Oh ahem. And also **MAYBE** <<LEXICON:NONSTANCE>> eligible for an Oscar! There was some bloke, du n"
clearly,Epistemic,Non-stance,"new situation. The interventions in a remake may be more **CLEARLY** <<LEXICON:EPISTEMIC>> visible (and as a consequence regarded as more acceptable), but,"
perhaps,Attitudinal,Epistemic,"subsidized work. Yet these did not achieve any great scale, **PERHAPS** <<LEXICON:EPISTEMIC>> because of suspicions of their implications for state involvement in"
probably).,Epistemic,Non-stance,"do nt know, I was only about 2 years old ( **PROBABLY).** <<LEXICON:NONSTANCE>> Come on Kevexactly what minute did we/they score?? Mark From:"
really,Attitudinal,Epistemic,eligible for delay repay for both journeys? I really really **REALLY** <<LEXICON:EPISTEMIC>> don't like the Guardian's new logo: ( As someone
actually,Non-stance,Epistemic,helps me when I my anxiety is really high (it **ACTUALLY** <<LEXICON:EPISTEMIC>> helps anytime). How many days are you going to give
probably,Attitudinal,Epistemic,than breathable. The only plus side is that they're **PROBABLY** <<LEXICON:EPISTEMIC>> a very effective contraceptive aid. I can't imagine my
Probably,Epistemic,Attitudinal,full size dinner plate that my 6ft boyfriend uses. Plastic **PROBABLY** <<LEXICON:EPISTEMIC>> my mistake but will be returning as they are plastic
actually,Epistemic,Non-stance,"are rarer, or do not have the character that they **ACTUALLY** <<LEXICON:EPISTEMIC>> do), thus supporting the argument from religious experience and supporting"
maybe,Epistemic,Non-stance,"it goes ahead! nice idea, let me know dates but **MAYBE** <<LEXICON:NONSTANCE>> not. Going into hospital on the 10th woo hoo! #seeyouinthefields"
really,Attitudinal,Epistemic,verging on depression at one point Well its not surprising **REALLY** <<LEXICON:EPISTEMIC>> is it .... it must be awful to feel confused and
perhaps,Attitudinal,Epistemic,"note-groups, to be played in a certain way, or even **PERHAPS** <<LEXICON:EPISTEMIC>> as the player wishes) may also have a stock-in-trade of"
actually,Epistemic,Non-stance,conversely neither need it permit a sense to 'there are **ACTUALLY** <<LEXICON:EPISTEMIC>> none' in which that is true. My late Sydney colleague
perhaps,Epistemic,Attitudinal,"of an attempted military solution; their attitude towards France; and, **PERHAPS** <<LEXICON:EPISTEMIC>> most importantly, their attitude towards Catholicism. Many English Catholics remained"
actually,Attitudinal,Epistemic,they get talked about together so often. Nope they're **ACTUALLY** <<LEXICON:EPISTEMIC>> the best part of 100 miles apart. I also assumed
actually,Attitudinal,Epistemic,"will be their fastest player along with Wallace he might **ACTUALLY** <<LEXICON:EPISTEMIC>> be faster than W.), he is technically good, good 'nuff"
Probably,Epistemic,Attitudinal,are a remarkable person your book was an amazing read **PROBABLY** <<LEXICON:EPISTEMIC>> best he changed careers. I didn't like this book.
perhaps,Attitudinal,Epistemic,"of' social situations which are most conducive to crime '. But, **PERHAPS** <<LEXICON:EPISTEMIC>> sensing dangerous moral and political overtones, they add (ibid., p."
perhaps,Attitudinal,Epistemic,"a broad range of views towards consensus or settlement, but **PERHAPS** <<LEXICON:EPISTEMIC>> it is unfair to look only at those instances of"
actually,Attitudinal,Epistemic,find that motivation is easy to come by when you **ACTUALLY** <<LEXICON:EPISTEMIC>> believe you're capable of overcoming things. Learn to Delay
Perhaps,Attitudinal,Epistemic,"Who, after all, ever thinks of himself as a bourgeois?) **PERHAPS** <<LEXICON:EPISTEMIC>> all that makes it easier to understand why Orwell was"
Definitely!,Epistemic,Non-stance,"Did you see what posted today?"" Thank you for writing! . **DEFINITELY!** <<LEXICON:NONSTANCE>> Social media is just a part of my life and"
Perhaps,Attitudinal,Epistemic,the contemporary niyaz kahani pamphlets of Amy Bard's essay. **PERHAPS** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> the most surprising group that qualify as oral - literate are
actually,Attitudinal,Epistemic,smart and witty folks old enough to be his parents **ACTUALLY** <<LEXICON:EPISTEMIC>> had some responsibility for encouraging him to put forth his
clearly,Epistemic,Non-stance,"and Fig. 4b the resulting fluid motion. As can be **CLEARLY** <<LEXICON:EPISTEMIC>> seen, both the interference pattern and streaming motion is modelled."
actually,Non-stance,Epistemic,so many times that I began to think that I **ACTUALLY** <<LEXICON:EPISTEMIC>> remembered it).' Footnote 106 Grayzel has noted that Great War
really,Epistemic,Attitudinal,"we rarely ever got to the bye-line, Sunderland never looked **REALLY** <<LEXICON:EPISTEMIC>> troubled by this. One bizarre thing was that the defence"
really,Epistemic,Attitudinal,"of despair makes him seem very cynical, although he is **REALLY** <<LEXICON:EPISTEMIC>> quite a sensitive soul. The series has become a bit"
definitely,Epistemic,Attitudinal,"n't slide down or roll at the top. I would **DEFINITELY** <<LEXICON:EPISTEMIC>> recommend to others. Fantastic customer service, very helpful and quick"
Indeed,Attitudinal,Epistemic,"and the photography it inspires is quite small (Graburn, 2015). **INDEED** <<LEXICON:EPISTEMIC>> it creates temptations to 'push grain for water' and retain"
probably,Epistemic,Attitudinal,"as personal as it has. Calling peoples comments ""unworthy"" is **PROBABLY** <<LEXICON:EPISTEMIC>> enough really. It would. It may be that there are"
actually,Non-stance,Epistemic,"various leagues - it happens a lot and we (whatever '' we "" **ACTUALLY** <<LEXICON:EPISTEMIC>> is) are not going to change this I'm the"
indeed,Attitudinal,Epistemic,"mode of compassion and not denunciation - as if they were **INDEED** <<LEXICON:EPISTEMIC>> effectively ""responsible"" for the situation - that address could have a"
probably,Attitudinal,Epistemic,"moon landings were definitely faked, and 9% that they were **PROBABLY** <<LEXICON:EPISTEMIC>> faked, both figures are higher than any other party (indeed,"
Perhaps,Attitudinal,Epistemic,development from that in which the process of weaning occurs **PERHAPS** <<LEXICON:EPISTEMIC>> the most convincing evidence against the early manipulative predictions derived
really,Epistemic,Attitudinal,front of me. Since then my (now ex-) girlfriend was **REALLY** <<LEXICON:EPISTEMIC>> good mates with the two of them cos she was
indeed,Attitudinal,Epistemic,"such as Lawrence (1994) and Murnaghan (1994), among others, and **INDEED** <<LEXICON:EPISTEMIC>> re-written by authors and poets such as Margaret Atwood in"
probably,Attitudinal,Epistemic,"limiting the retailer's right to reject the goods, is **PROBABLY** <<LEXICON:EPISTEMIC>> more likely to be reasonable, than a wider clause excluding"
clearly,Non-stance,Epistemic,two sections: (1) management and (2) cleaning/premises in order to **CLEARLY** <<LEXICON:EPISTEMIC>> define the factors. The management section comprises of all the
definitely,Epistemic,Attitudinal,old son is very pleased with his nerf target. would **DEFINITELY** <<LEXICON:EPISTEMIC>> recommend buying from this seller prefect It's absolutely brilliant.
really,Attitudinal,Epistemic,spotted to far away on a break. 10 minutes is **REALLY** <<LEXICON:EPISTEMIC>> to little time to make an impact. Batts did not
probably,Epistemic,Attitudinal,"if you are all hearing the same thing that's **PROBABLY** <<LEXICON:EPISTEMIC>> better, than having to pass he message along and having"
actually,Epistemic,Non-stance,of these cases was any sort of extraordinary hidden agency **ACTUALLY** <<LEXICON:EPISTEMIC>> witnessed. Our tendency systematically to over-detect agency is in part
indeed,Epistemic,Attitudinal,"do get a chance to show themselves, the situation may **INDEED** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> seem worse. Staff have to face the challenge of turning"
indeed,Epistemic,Attitudinal,contradictions at the base. The theory of the ISAs would **INDEED** <<LEXICON:EPISTEMIC>> be very crude if Althusser left it at that but
Perhaps,Epistemic,Attitudinal,"functions of education, medical care or support of the elderly. **PERHAPS** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> even more striking, is the finding that the upheaval of"
probably,Non-stance,Epistemic,"yield from the Crown lands is difficult to estimate but **PROBABLY** <<LEXICON:EPISTEMIC>> came to about 6,750, with the Duchy of Lancaster contributing"
really,Attitudinal,Epistemic,think we'll get 7 vs San Marino I'm **REALLY** <<LEXICON:EPISTEMIC>> hacked off now. One reason I chose to work in
probably,Attitudinal,Epistemic,"of impact we'd hoped for. I reckon he'll **PROBABLY** <<LEXICON:EPISTEMIC>> come good in time, but we can't afford to"
perhaps,Attitudinal,Epistemic,"Similarly, Richard Widdess has noted that although there has been **PERHAPS** <<LEXICON:EPISTEMIC>> an even stronger emphasis placed on the superiority of oral -"
definitely,Epistemic,Attitudinal,belt A great belt at a great price I will **DEFINITELY** <<LEXICON:EPISTEMIC>> recommend to family and friends. Wish the buckle was smaller
perhaps,Epistemic,Attitudinal,of poverty' it is an identification of difference. What is **PERHAPS** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> most interesting is the reality of Frankel's (1987) point
